央视▪超清,#genre#
緯來电影,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twwldy
精品电影,http://39.135.138.60:18890/PLTV/88888910/224/3221225718/index.m3u8
超级电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225623/index.m3u8
超级电视剧,http://39.135.138.59:18890/PLTV/88888910/224/3221225625/index.m3u8
高分影院,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000708/150/index.m3u8?&encrypt=
东森电影,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twdsdy
NewTV动作电影,http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227606/index.m3u8
NewTV古装剧场,http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227542/index.m3u8
NewTV家庭剧场,http://223.110.243.164/ott.js.chinamobile.com/PLTV/3/224/3221227600/index.m3u8
NewTV惊悚悬疑,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227536/index.m3u8
金庸频道,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100181876/150/index.m3u8?&encrypt=
每日科幻电影,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100172731/150/index.m3u8?ProgramID=&encrypt=1
喜剧联盟,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5101097468/150/index.m3u8?&encrypt=
经典影视,https://tx.liveplay.live.kugou.com/live/fx_hifi_251702616_avc.m3u8
玄幻影院,https://tx.liveplay.live.kugou.com/live/fx_hifi_1308614369_avc.m3u8
经典贺岁片,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100181836/150/index.m3u8?&encrypt=
精品网剧,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000751/150/index.m3u8?&encrypt=
深夜尤物剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100181674/150/index.m3u8?&encrypt=
高分影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198191
私人影院,http://113.64.147.140:808/hls/57/index.m3u8
经典影视,https://tx.liveplay.live.kugou.com/live/fx_hifi_251702616_avc.m3u8
经典贺岁片,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625774662
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
乐视_动作电影,http://api.idianshijia.com/gslb/live?stream_id=lsloop_dongwu&type=.m3u8
乐视_经典电影,http://api.idianshijia.com/gslb/live?stream_id=lsloop_dianying&type=.m3u8
乐视_喜剧电影,http://api.idianshijia.com/gslb/live?stream_id=lsloop_xiju&type=.m3u8
超级电影,http://39.134.65.208/PLTV/88888888/224/3221225644/index.m3u8
虎牙▪轮播#genre#
轮|周星星,http://121.12.115.156/tx.hls.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1-imgplus.m3u8
轮|吴京,http://121.12.115.156/tx.hls.huya.com/src/1524434090-1524434090-6547394561457520640-3048991636-10057-A-0-1.m3u8
轮|刘德华,http://121.12.115.156/tx.hls.huya.com/src/1394575547-1394575547-5989656366166310912-2789274550-10057-A-0-1.m3u8
轮|甄子丹,http://121.12.115.156/tx.hls.huya.com/src/1423787820-1423787820-6115122123343134720-2847699096-10057-A-0-1-imgplus.m3u8
轮|沈腾,http://121.12.115.156/tx.hls.huya.com/src/1524418085-1524418085-6547325820505948160-3048959626-10057-A-0-1-imgplus.m3u8
轮|洪金宝,http://121.12.115.156/tx.hls.huya.com/src/1394575551-1394575551-5989656383346180096-2789274558-10057-A-0-1-imgplus.m3u8
轮|洪金宝·,http://121.12.115.16/tx.flv.huya.com/src/1449698705-1449698705-6226408527028551680-3049003156-10057-A-0-1.m3u8
周润发,http://121.12.115.16/tx.flv.huya.com/src/1394565192-1394565192-5989611891779960832-2789253840-10057-A-0-1-imgplus.m3u8
徐峥,http://121.12.115.16/tx.flv.huya.com/src/1524434085-1524434085-6547394539982684160-3048991626-10057-A-0-1.m3u8
轮|【沈腾合集】,http://121.12.115.156/tx.hls.huya.com/src/1524418085-1524418085-6547325820505948160-3048959626-10057-A-0-1-imgplus.m3u8
轮|甄子丹 ,http://121.12.115.156/tx.hls.huya.com/src/1423787820-1423787820-6115122123343134720-2847699096-10057-A-0-1-imgplus.m3u8
轮|刘德华 ,http://121.12.115.162/txdirect.hls.huya.com/src/1394575547-1394575547-5989656366166310912-2789274550-10057-A-0-1.m3u8
轮|【五福星】,http://121.12.115.156/tx.hls.huya.com/src/1356780980-1356780980-5827329936934830080-2713685416-10057-A-0-1.m3u8
轮|李小龙,http://121.12.115.16/tx.flv.huya.com/src/1449588725-1449588725-6225936166525337600-3048959678-10057-A-0-1.m3u8
轮|林正英,http://121.12.115.156/tx.hls.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.m3u8
轮|林正英 ,http://121.12.115.162/txdirect.hls.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.m3u8
轮|李连杰,http://121.12.115.162/txdirect.hls.huya.com/src/1394565196-1394565196-5989611908959830016-2789253848-10057-A-0-1-imgplus.m3u8
轮|成龙,http://121.12.115.156/tx.hls.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1-imgplus.m3u8
轮|喜剧专场 ,http://121.12.115.156/tx.hls.huya.com/src/1448686695-1448686695-6222061977175326720-2847687574-10057-A-0-1.m3u8
轮|邱淑贞 王祖贤 张曼玉【女神系列】,http://121.12.115.156/tx.hls.huya.com/src/1388451591-1388451591-5963354175424167936-2777026638-10057-A-0-1-imgplus.m3u8
轮|四大裁子之首-【张柏芝】,http://121.12.115.156/tx.hls.huya.com/src/1524434111-1524434111-6547394651651833856-3048991678-10057-A-0-1.m3u8
轮|五一爆笑大片 解压解压,http://121.12.115.156/tx.hls.huya.com/src/1449581164-1449581164-6225903692277612544-2847699154-10057-A-0-1.m3u8
轮|北有谢广坤，南有苏大强,http://121.12.115.156/tx.hls.huya.com/src/1445653465-1445653465-6209034353524080640-2847699238-10057-A-0-1.m3u8
轮|经典之作·金庸群侠篇电影,http://121.12.115.156/tx.hls.huya.com/src/1394575551-1394575551-5989656383346180096-2789274558-10057-A-0-1-imgplus.m3u8
轮|刘涛-【欢le颂】22楼姐妹花,http://121.12.115.156/tx.hls.huya.com/src/1524418105-1524418105-6547325906405294080-3048959666-10057-A-0-1.m3u8
轮|葱花-十一假期 夏洛马冬梅都在,http://121.12.115.162/txdirect.hls.huya.com/src/1449588790-1449588790-6225936445698211840-2847699106-10057-A-0-1.m3u8
轮|陈翔六点半·更新到301集了,http://121.12.115.156/tx.hls.huya.com/src/1352054947-1352054947-5807031779760013312-2704233350-10057-A-0-1-imgplus.m3u8
轮|tu槽·明星大咖自黑现场,http://121.12.115.16/tx.flv.huya.com/src/1449572975-1449572975-6225868520790425600-2789274544-10057-A-0-1.m3u8
轮|极限挑战·06猫鼠大战红雷小猪女装登场,http://121.12.115.156/tx.hls.huya.com/src/1423782086-1423782086-6115097496000659456-2847687628-10057-A-0-1-imgplus.m3u8
轮|《jiang夜》终将至，花开彼岸天,http://121.12.115.156/tx.hls.huya.com/src/1449580358-1449580358-6225900230533971968-2847687552-10057-A-0-1.m3u8
轮|我就问你这瓜保熟吗,http://121.12.115.156/tx.hls.huya.com/src/1449539468-1449539468-6225724609321238528-3048959632-10057-A-0-1.m3u8
轮|【黑帮大片】,http://121.12.115.156/tx.hls.huya.com/src/1388472589-1388472589-5963444361147449344-2777068634-10057-A-0-1-imgplus.m3u8
轮|曾小咸,http://121.12.115.16/tx.flv.huya.com/src/1388474069-1388474069-5963450717699047424-2777071594-10057-A-0-1-imgplus.m3u8
轮|迷失-,http://121.12.115.16/tx.flv.huya.com/src/1524434083-1524434083-6547394531392749568-3048991622-10057-A-0-1.m3u8
轮|我的宝贝baby-笑死人不偿命，老子就要嗨皮,http://121.12.115.16/tx.flv.huya.com/src/1449567112-1449567112-6225843339397169152-2847687536-10057-A-0-1.m3u8
轮|鯎爺-滚滚长江东逝水,http://121.12.115.162/txdirect.hls.huya.com/src/1423787831-1423787831-6115122170587774976-2847699118-10057-A-0-1-imgplus.m3u8
正经纪录片-七公主驾到！,http://121.12.115.16/tx.flv.huya.com/src/1199561277675-1199561277675-5434860597135015936-2399122678806-10057-A-0-1.m3u8
轮|长城-众星云集，大甜甜,http://121.12.115.16/tx.flv.huya.com/src/1524439855-1524439855-6547419321943982080-3049003166-10057-A-0-1-imgplus.m3u8
轮|女摔跤,http://121.12.115.156/tx.hls.huya.com/src/1524439830-1524439830-6547419214569799680-3049003116-10057-A-0-1.m3u8
轮|音乐榜,http://121.12.115.16/tx.flv.huya.com/src/10995317402
轮|人在囧途,http://121.12.115.156/tx.hls.huya.com/src/2370219767-2370219767-10180016383597740032-4740562990-10057-A-0-1.m3u8
轮|大铁锅炖大大鹅-,http://121.12.115.156/tx.hls.huya.com/src/1099531752768-1099531752768-86436182472261632-2199063628992-10057-A-0-1.m3u8
轮|奶凶带你们看妖铃铃,http://121.12.115.156/tx.hls.huya.com/src/1199558033152-1199558033152-5420925476958896128-2399116189760-10057-A-0-1.m3u8
轮|扁豆看电影-女孩爱上闺蜜老爸，尴尬！,http://121.12.115.16/tx.flv.huya.com/src/94525224-2703099090-11609722189397360640-4587890396-10057-A-0-1.m3u8
轮|一个人的武林，既分高下，也决生死【2560x1440】,http://121.12.115.16/tx.flv.huya.com/src/437362244-437362244-1878456534485172224-874847944-10057-A-0-1.m3u8
轮|SMG吐槽担当-今晚80后脱口秀164误解,http://121.12.115.162/txdirect.hls.huya.com/src/1423787862-1423787862-6115122303731761152-2847699180-10057-A-0-1.m3u8
轮|岳云鹏相声合集,http://121.12.115.156/tx.hls.huya.com/src/1394575567-1394575567-5989656452065656832-2789274590-10057-A-0-1.m3u8
轮|笑傲帮 顶尖笑匠再登舞台,http://121.12.115.16/tx.flv.huya.com/src/1449380946-1449380946-6225043762515542016-2847687614-10057-A-0-1.m3u8
轮|SJ_菠萝-,http://121.12.115.16/tx.flv.huya.com/src/1199587093949-1199587093949-5545740649669591040-2399174311354-10057-A-0-1.m3u8
轮|学妹爱学长-,http://121.12.115.156/tx.hls.huya.com/src/1423782050-1423782050-6115097341381836800-2847687556-10057-A-0-1-imgplus.m3u8
轮|军武直播-,http://121.12.115.156/tx.hls.huya.com/src/1299518216864-1299518216864-10471531726831091712-2599036557184-10057-A-0-1.m3u8
轮|书书漫-,http://121.12.115.16/tx.flv.huya.com/src/1199588866837-1199588866837-5553355145649061888-2399177857130-10057-A-0-1.m3u8
轮|麻雀,http://121.12.115.156/tx.hls.huya.com/src/1449698864-1449698864-6226409209928351744-2847687540-10057-A-0-1.m3u8
轮|初心-,http://121.12.115.156/tx.hls.huya.com/src/1448738174-1448738174-6222283077796757504-2847699112-10057-A-0-1.m3u8
轮|东方先生i-体育,http://121.12.115.16/tx.flv.huya.com/src/1199524398220-1199524398220-5276464544015712256-2399048919896-10057-A-0-1.m3u8
轮|中国te警,http://121.12.115.156/tx.hls.huya.com/src/1420752082-1420752082-6102083727913910272-3049003134-10057-A-0-1.m3u8
轮|黄霄雲-音乐,http://121.12.115.156/tx.hls.huya.com/src/1199540156392-1199540156392-5344145377400455168-2399080436240-10057-A-0-1.m3u8
轮|貂妹电影-,http://121.12.115.156/tx.hls.huya.com/src/2300495830-2300495830-9880554354434375680-4601115116-10057-A-0-1.m3u8
